Date,Description,Amount
01/15/2025,Paycheck,2500.00
01/16/2025,Rent Payment,-1200.00
01/17/2025,Grocery Store,-85.75
01/18/2025,Electric Bill,-65.30
01/19/2025,Internet Bill,-49.99
01/20/2025,Restaurant,-45.67
01/21/2025,Gas Station,-35.45
01/22/2025,Coffee Shop,-4.25
01/23/2025,Amazon Purchase,-29.99
01/24/2025,Pharmacy,-12.50
01/25/2025,Transfer to Savings,-200.00
01/26/2025,Gym Membership,-30.00
01/27/2025,Mobile Phone Bill,-75.00
01/28/2025,Streaming Service,-14.99
01/29/2025,Public Transport,-25.00
01/30/2025,Bonus Payment,500.00 
